2023-10-23|09:45:12|Aseprite|Humble Bumble|-19.99
2023-10-11|12:02:57|Dungeon Draft|Humble Bumble|-19.99
2023-10-08|10:45:12|Funko Pop|Brain Junk|12.99
2023-10-02|02:26:16|Wander Draft|Humble Bumble|-19.99
2023-09-08|05:55:36|Scrivener|Literature & Latte|-50.00
2023-09-02|01:22:24|Clip Studio Pain Pro Ex|Celsys|-219.00
2023-08-29|03:44:05|Affinity Designer|Serif|-50.00
2023-08-22|11:14:06|Scapple|Literature & Latte|-50.00
2023-08-18|09:45:39|Year Up|Wisely|100.00
2023-08-12|04:04:57|AWS Certified Cloud Practitioner Exam|Pearson VUE|-100.00
2023-08-11|10:13:15|Eggzorcist LDD|Brain Junk|199.70
2023-07-27|05:22:01|Frozen Charlotte LDD|304.99
2023-07-14|03:10:45|NYC Comic Con Booth|ReedPOP|-3997.99
2023-07-03|12:45:00|Vesper LDD|70.00
2023-06-30|12:19:47|The Adventures of Almina|Amazon|-25.20
2023-06-21|01:27:49|Cat Scratching Post|PetSmart|-155.25
2023-06-19|01:44:48|Pet Treats|Chewy|-75.00
2023-06-13|08:30:12|Academic Essay|Fiverr|25.45
2023-06-10|10:23:10|Persuasive Essay|Fiverr|25.45
2023-06-01|07:33:59|Deco LW Tablet|XP-PEN|-722.85
2023-05-31|12:18:00|Technical White Paper|Fiverr|45.09
2023-05-30|06:14:09|Staten Island Veterinarian|-1000.00
2023-05-29|10:59:20|CompTIA Project+ Exam Guide|Amazon|-57.89
2023-04-16|10:11:04|Birthday decorations|Amazon|-133.39
2023-04-08|06:12:12|Birthday cake pre-order|Big Bakery|-423.00
2023-03-12|11:14:59|Dark Star Trilogy|Barnes & Noble|-55.99
2023-02-09|09:46:39|Hansel & Gretel LDD|Brain Junk|200.99
2023-02-27|07:45:45|NoHell LDD|Brain Junk|120.77
2023-02-21|07:56:17|Artist 24 Pro Display|XP-PEN|-80.95
2023-01-17|12:52:47|Pell Grant|Department of Education|3774.97
2023-01-01|11:09:15|Crescent City #3|Amazon|-25.79
